Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Australia,Wheat,1995,34957,534,133.52,21.65
Netherlands,Sweet potatoes,2008,177299,850,88.96,9.5
Germany,Sweet potatoes,1997,130798,700,125.19,8.5
Australia,Maize,2007,60567,534,96.22,21.65
Germany,Wheat,2012,39958,700,77.9,8.5
Turkey,Cassava,2007,128536,574,98.01,11.1
Vietnam,Sweet potatoes,2003,195126,1821,118.06,25.5
Germany,Rice,2005,50609,700,104.3,8.5
Austria,Maize,1991,49893,1110,150.45,6.35
Bangladesh,Wheat,1996,37818,2666,125.5,25.5
Bangladesh,Rice,2007,68021,2666,98.17,25.5
Belgium,Cassava,2003,134787,847,101.03,10.5
Japan,Wheat,2006,40537,1668,108.91,12.0
India,Sweet potatoes,1994,167210,1083,128.98,25.0
Mexico,Potatoes,2004,213565,758,117.23,21.0
United Kingdom,Maize,2001,62472,1220,114.79,9.5
United Kingdom,Potatoes,1998,204371,1220,122.11,9.5
Italy,Maize,2002,66249,832,104.34,13.5
Mexico,Potatoes,2013,223663,758,80.54,21.0
Italy,Sorghum,1995,14113,832,135.35,13.5
USA,Sweet potatoes,2013,197354,715,82.14,8.5
Argentina,Soybeans,1990,26191,590,141.6,16.0
Vietnam,Yams,1991,117025,1821,149.94,25.5
China,Potatoes,2010,195831,645,93.76,8.5
Mexico,Plantains,1995,86272,758,135.34,21.0
Brazil,Wheat,1991,33082,1761,138.25,25.0
Canada,Rice,2000,44461,537,129.22,-5.35
Turkey,Potatoes,2008,230435,574,103.31,11.1
Germany,Potatoes,2005,228491,700,102.25,8.5
China,Soybeans,1992,29140,645,153.55,8.5
Italy,Yams,1990,118780,832,155.65,13.5
Austria,Maize,1994,55913,1110,146.89,6.35
Austria,Potatoes,2011,230949,1110,83.23,6.35
Argentina,Potatoes,2012,234381,590,81.93,16.0
Argentina,Rice,2009,65126,590,100.47,16.0
Vietnam,Sweet potatoes,1992,145002,1821,137.75,25.5
USA,Soybeans,2002,35061,715,116.65,8.5
Thailand,Cassava,2001,159416,1622,108.32,28.0
Canada,Rice,1992,35334,537,139.51,-5.35
Turkey,Sorghum,2007,17934,574,100.54,11.1
Vietnam,Potatoes,2011,219341,1821,87.38,25.5
Brazil,Potatoes,1997,219927,1761,124.93,25.0
Albania,Rice,2013,56909,1485,80.94,16.37
Brazil,Wheat,1996,36447,1761,140.65,25.0
Australia,Yams,2005,126560,534,95.83,21.65
Netherlands,Soybeans,2004,33253,850,101.92,9.5
Bangladesh,Rice,2002,65431,2666,121.01,25.5
Belgium,Cassava,1991,125276,847,147.62,10.5
United Kingdom,Plantains,1996,80344,1220,139.95,9.5
Japan,Potatoes,2004,210463,1668,112.47,12.0
Austria,Maize,2007,65904,1110,95.54,6.35
Thailand,Wheat,1990,36338,1622,147.02,28.0
Germany,Potatoes,1998,198148,700,122.27,8.5
Egypt,Potatoes,2009,173037,51,90.03,22.5
Indonesia,Rice,1992,63519,2702,149.34,26.5
Belgium,Potatoes,2001,225620,847,111.55,10.5
France,Soybeans,1993,23278,867,134.93,12.5
Thailand,Plantains,1997,87373,1622,130.14,28.0
Turkey,Rice,2001,52297,574,111.2,11.1
Pakistan,Soybeans,2004,23062,494,109.54,19.0
Thailand,Plantains,2006,94954,1622,110.75,28.0
Bangladesh,Maize,2008,64789,2666,98.85,25.5
USA,Rice,2005,54302,715,104.78,8.5
Vietnam,Rice,2010,60779,1821,92.45,25.5
China,Soybeans,1996,27723,645,130.22,8.5
Mexico,Cassava,2006,158514,758,107.68,21.0
Thailand,Maize,1991,51320,1622,138.82,28.0
Argentina,Soybeans,1998,26386,590,131.39,16.0
United Kingdom,Plantains,1997,65730,1220,126.95,9.5
Austria,Sweet potatoes,2013,189255,1110,83.3,6.35
Germany,Potatoes,2002,184801,700,107.93,8.5
Albania,Potatoes,2013,228224,1485,86.42,16.37
Spain,Maize,1990,44399,636,159.26,14.0
Vietnam,Cassava,2001,155703,1821,124.73,25.5
Argentina,Plantains,2001,69777,590,120.05,16.0
Mexico,Yams,2006,161361,758,96.56,21.0
Japan,Maize,2000,63564,1668,112.41,12.0
Germany,Sorghum,2004,19278,700,108.5,8.5
Indonesia,Sweet potatoes,2010,170019,2702,98.51,26.5
Canada,Plantains,2011,71868,537,88.54,-5.35
Italy,Wheat,2007,34664,832,101.78,13.5
Belgium,Maize,2010,65813,847,91.07,10.5
Netherlands,Yams,2004,131679,850,98.77,9.5
France,Soybeans,2002,31742,867,112.53,12.5
Bangladesh,Sorghum,2013,19198,2666,73.81,25.5
Austria,Wheat,1998,29922,1110,116.52,6.35
Pakistan,Rice,1994,38036,494,146.9,19.0
Egypt,Sorghum,2004,18022,51,113.44,22.5
Pakistan,Potatoes,2003,174629,494,105.94,19.0
India,Soybeans,1996,35731,1083,135.86,25.0
Indonesia,Sorghum,2004,16371,2702,111.22,26.5
Spain,Plantains,1998,81479,636,119.41,14.0
Belgium,Wheat,1998,37131,847,132.44,10.5
India,Yams,2008,154899,1083,105.71,25.0
USA,Rice,2012,59974,715,83.08,8.5
Austria,Rice,1998,56209,1110,132.38,6.35
Indonesia,Cassava,2002,152305,2702,109.48,26.5
Albania,Sweet potatoes,2005,178615,1485,114.22,16.37
Japan,Maize,1999,51905,1668,129.73,12.0
Spain,Maize,2008,59491,636,99.55,14.0
Bangladesh,Yams,2007,141880,2666,96.42,25.5
Netherlands,Rice,1990,44830,850,143.17,9.5
Austria,Maize,2004,65625,1110,115.42,6.35
Canada,Cassava,2001,102774,537,111.75,-5.35
France,Soybeans,2006,35256,867,100.01,12.5
Netherlands,Plantains,1991,70540,850,145.35,9.5
Australia,Maize,1995,66873,534,138.27,21.65
Bangladesh,Plantains,2001,67299,2666,123.42,25.5
Argentina,Plantains,2010,94454,590,88.43,16.0
France,Wheat,2008,35039,867,100.9,12.5
USA,Potatoes,2000,213928,715,129.08,8.5
Albania,Potatoes,1996,172589,1485,129.77,16.37
Austria,Rice,2011,60003,1110,89.14,6.35
Vietnam,Rice,2000,61410,1821,124.35,25.5
China,Potatoes,2011,202168,645,95.77,8.5
Bangladesh,Cassava,1995,119137,2666,142.46,25.5
Albania,Soybeans,1994,24121,1485,140.84,16.37
Pakistan,Wheat,2000,28767,494,117.27,19.0
Italy,Wheat,2002,32879,832,105.81,13.5
Japan,Potatoes,2013,245438,1668,75.86,12.0
USA,Cassava,2010,147515,715,86.46,8.5
Canada,Sorghum,2008,17693,537,90.21,-5.35
Canada,Yams,2013,126662,537,89.67,-5.35
Netherlands,Cassava,2001,160580,850,123.74,9.5
Turkey,Yams,1995,121507,574,131.62,11.1
Austria,Wheat,2011,34728,1110,83.07,6.35
Brazil,Rice,2003,61368,1761,106.01,25.0
Austria,Sweet potatoes,2005,144210,1110,108.23,6.35
Vietnam,Maize,2005,57991,1821,100.26,25.5
Albania,Soybeans,2003,34325,1485,113.99,16.37
Thailand,Sorghum,2006,20376,1622,107.52,28.0
Egypt,Soybeans,2006,25516,51,108.28,22.5
United Kingdom,Yams,2008,149114,1220,96.07,9.5
Turkey,Sorghum,1995,15658,574,133.75,11.1
China,Maize,1996,61669,645,134.26,8.5
China,Plantains,2011,74229,645,89.96,8.5
Mexico,Cassava,2011,174999,758,94.57,21.0
Egypt,Soybeans,1995,25128,51,134.87,22.5
USA,Sorghum,2008,19021,715,91.3,8.5
Netherlands,Rice,2013,60331,850,84.88,9.5
Turkey,Sorghum,1991,16285,574,146.92,11.1
Italy,Cassava,2011,170859,832,85.38,13.5
Indonesia,Potatoes,1992,173774,2702,134.8,26.5
Vietnam,Wheat,1990,30557,1821,151.06,25.5
Indonesia,Soybeans,2012,37266,2702,79.63,26.5
Pakistan,Potatoes,2012,171353,494,78.98,19.0
Bangladesh,Wheat,2004,39811,2666,113.77,25.5
Bangladesh,Cassava,2007,180768,2666,100.66,25.5
Germany,Soybeans,2010,34819,700,91.29,8.5
France,Rice,1992,52700,867,135.97,12.5
Austria,Sorghum,2007,20127,1110,100.16,6.35
Spain,Sweet potatoes,1994,147445,636,131.07,14.0
Japan,Cassava,2000,135601,1668,112.89,12.0
Egypt,Cassava,1993,110866,51,135.81,22.5
Turkey,Maize,2013,58916,574,77.31,11.1
Egypt,Sorghum,2003,16108,51,106.59,22.5
Thailand,Yams,1997,142059,1622,131.83,28.0
Indonesia,Wheat,2003,33442,2702,120.09,26.5
Pakistan,Soybeans,1998,22598,494,122.33,19.0
United Kingdom,Yams,2013,161497,1220,72.14,9.5
Germany,Wheat,2013,35047,700,86.37,8.5
Canada,Sorghum,2011,16688,537,78.65,-5.35
India,Plantains,2004,88946,1083,111.67,25.0
Egypt,Potatoes,2005,191849,51,99.3,22.5
Canada,Sorghum,2003,16599,537,106.57,-5.35
Pakistan,Rice,1999,34739,494,127.54,19.0
Indonesia,Soybeans,2002,30875,2702,104.5,26.5
Canada,Sorghum,1994,14800,537,147.51,-5.35
France,Sweet potatoes,2008,166117,867,92.88,12.5
Italy,Soybeans,2010,33789,832,89.19,13.5
Brazil,Cassava,2001,172869,1761,113.16,25.0
Egypt,Plantains,2004,62206,51,99.55,22.5
Japan,Wheat,2002,38666,1668,105.7,12.0
Austria,Soybeans,2003,30577,1110,108.94,6.35
Egypt,Soybeans,1998,22580,51,118.54,22.5
Canada,Sweet potatoes,2000,111023,537,116.8,-5.35
Argentina,Plantains,1996,74227,590,136.32,16.0
Australia,Cassava,1993,135055,534,144.71,21.65
Egypt,Yams,1992,108134,51,147.57,22.5
India,Yams,2013,146509,1083,79.76,25.0
Austria,Plantains,2003,85037,1110,106.72,6.35
Spain,Potatoes,2007,207701,636,89.49,14.0
United Kingdom,Sorghum,1992,17455,1220,134.72,9.5
Indonesia,Yams,1990,107522,2702,159.97,26.5
India,Yams,1999,125353,1083,129.43,25.0
Egypt,Sweet potatoes,2013,150057,51,84.62,22.5
Bangladesh,Plantains,2011,85621,2666,90.57,25.5
Mexico,Maize,1990,47996,758,155.45,21.0
Japan,Sorghum,1995,15050,1668,144.81,12.0
Austria,Yams,1998,134951,1110,130.53,6.35
USA,Plantains,2007,83854,715,89.68,8.5
France,Wheat,1998,30673,867,124.21,12.5
Albania,Maize,2002,64047,1485,113.12,16.37
Bangladesh,Cassava,2003,154043,2666,114.36,25.5
Turkey,Potatoes,2011,239869,574,80.52,11.1
Netherlands,Rice,1997,50121,850,138.34,9.5
Indonesia,Sweet potatoes,1997,135243,2702,119.22,26.5
Australia,Cassava,2008,168530,534,92.53,21.65
Germany,Sweet potatoes,2011,192142,700,87.77,8.5
USA,Cassava,1993,109256,715,140.36,8.5
India,Potatoes,2004,258680,1083,101.38,25.0
Spain,Plantains,2010,83747,636,89.27,14.0
Vietnam,Potatoes,2005,252022,1821,113.03,25.5
Thailand,Plantains,2005,86224,1622,109.8,28.0
Italy,Potatoes,2008,198831,832,103.47,13.5
Germany,Wheat,2005,39403,700,106.06,8.5
USA,Plantains,2003,87774,715,102.57,8.5
France,Soybeans,1998,26331,867,127.44,12.5
Australia,Sweet potatoes,1995,167639,534,139.28,21.65
Argentina,Sweet potatoes,2011,148677,590,88.3,16.0
Netherlands,Cassava,1996,143862,850,132.86,9.5
Japan,Plantains,1993,60556,1668,139.24,12.0
Germany,Soybeans,2011,32956,700,80.33,8.5
Pakistan,Sweet potatoes,1993,105762,494,147.03,19.0
Japan,Potatoes,2008,196037,1668,87.63,12.0
Netherlands,Maize,1995,48441,850,134.13,9.5
Austria,Soybeans,2012,33573,1110,75.62,6.35
Bangladesh,Wheat,1997,38144,2666,123.54,25.5
Canada,Rice,1990,40440,537,150.01,-5.35
Egypt,Potatoes,2013,218462,51,71.5,22.5
Belgium,Soybeans,2013,37094,847,90.02,10.5
Belgium,Wheat,2000,38434,847,119.45,10.5
Spain,Sorghum,1992,15489,636,142.37,14.0
Austria,Wheat,2006,36751,1110,107.62,6.35
Belgium,Yams,1993,105502,847,146.22,10.5
Germany,Soybeans,2009,33735,700,89.06,8.5
France,Wheat,2009,35880,867,91.11,12.5
Mexico,Sweet potatoes,1998,139712,758,128.46,21.0
Brazil,Sweet potatoes,1990,121635,1761,143.31,25.0
Vietnam,Cassava,2004,166797,1821,108.11,25.5
Australia,Plantains,2011,83610,534,92.47,21.65
Spain,Rice,2002,60683,636,110.71,14.0
India,Potatoes,1992,181239,1083,135.74,25.0
Albania,Sweet potatoes,2010,144829,1485,96.9,16.37
Argentina,Potatoes,2013,259484,590,88.25,16.0
Mexico,Rice,1992,51295,758,143.64,21.0
Indonesia,Maize,2006,55956,2702,99.37,26.5
Spain,Wheat,1995,36900,636,133.97,14.0
Pakistan,Wheat,1996,24882,494,133.93,19.0
Netherlands,Sweet potatoes,1993,155788,850,142.82,9.5
Japan,Sorghum,2013,22845,1668,85.43,12.0
France,Sweet potatoes,1995,153956,867,127.11,12.5
Egypt,Yams,1995,90277,51,131.2,22.5
Spain,Maize,2004,58046,636,108.4,14.0
China,Yams,1998,128290,645,122.91,8.5
Italy,Soybeans,1994,31257,832,136.01,13.5
Albania,Plantains,2008,89722,1485,101.83,16.37
Indonesia,Sorghum,2005,17754,2702,111.73,26.5
United Kingdom,Plantains,1994,75488,1220,137.42,9.5
Italy,Yams,2000,115341,832,118.02,13.5
Albania,Sorghum,1991,15237,1485,149.19,16.37
Egypt,Maize,1995,41392,51,144.43,22.5
India,Sweet potatoes,2010,205899,1083,93.52,25.0
USA,Yams,1996,108965,715,129.58,8.5
Egypt,Sweet potatoes,2006,137513,51,103.21,22.5
Spain,Cassava,2012,180599,636,83.37,14.0
India,Sweet potatoes,2003,163175,1083,107.53,25.0
Japan,Sweet potatoes,2007,176076,1668,106.39,12.0
Indonesia,Sorghum,1992,16823,2702,139.67,26.5
China,Yams,1999,104133,645,123.81,8.5
Belgium,Potatoes,1997,191759,847,131.47,10.5
Thailand,Sorghum,1990,16941,1622,141.92,28.0
Japan,Yams,1994,102391,1668,141.11,12.0
Egypt,Soybeans,2000,26116,51,116.14,22.5
Turkey,Rice,2013,63409,574,77.18,11.1
Albania,Soybeans,2007,31583,1485,108.46,16.37
Vietnam,Potatoes,2012,229491,1821,84.26,25.5
Spain,Sweet potatoes,2001,167179,636,116.15,14.0
Thailand,Cassava,2007,170639,1622,96.75,28.0
Japan,Sorghum,1993,15269,1668,132.76,12.0
Germany,Rice,1998,45795,700,126.69,8.5
Italy,Rice,2010,55611,832,98.3,13.5
Canada,Cassava,2005,120905,537,111.03,-5.35
China,Potatoes,2008,185184,645,105.81,8.5
Canada,Plantains,2010,63301,537,96.02,-5.35
Canada,Cassava,1991,100357,537,152.39,-5.35
Turkey,Maize,2009,57384,574,93.67,11.1
Turkey,Wheat,1996,32639,574,141.61,11.1
Mexico,Soybeans,1992,33088,758,141.59,21.0
Mexico,Sweet potatoes,1997,154812,758,126.3,21.0
Argentina,Maize,2002,53028,590,117.69,16.0
Argentina,Soybeans,2004,27230,590,108.65,16.0
India,Soybeans,2012,41093,1083,90.16,25.0
Turkey,Yams,2006,122047,574,94.71,11.1
Argentina,Yams,1991,104532,590,148.04,16.0
Egypt,Sorghum,2002,16293,51,110.58,22.5
Argentina,Yams,2013,151309,590,74.33,16.0
Bangladesh,Cassava,2000,135553,2666,115.94,25.5
Austria,Sorghum,1996,14287,1110,127.48,6.35
Spain,Wheat,2011,38458,636,90.08,14.0
India,Potatoes,1999,196812,1083,113.28,25.0
Italy,Plantains,2013,91170,832,84.95,13.5
Albania,Potatoes,1992,195840,1485,152.79,16.37
Italy,Plantains,1993,68744,832,142.6,13.5
India,Soybeans,2004,29946,1083,108.37,25.0
Japan,Cassava,1996,142766,1668,125.77,12.0
Canada,Rice,2009,44893,537,96.18,-5.35
Belgium,Sorghum,2005,19149,847,99.52,10.5
Belgium,Sorghum,1999,14843,847,114.0,10.5
United Kingdom,Wheat,2004,32756,1220,116.22,9.5
Germany,Yams,1993,105388,700,131.77,8.5
China,Wheat,2013,45747,645,84.59,8.5
France,Potatoes,1997,191570,867,130.48,12.5
USA,Sorghum,2007,16557,715,107.87,8.5
Vietnam,Soybeans,2008,34245,1821,104.17,25.5
USA,Cassava,2003,134638,715,106.95,8.5
China,Potatoes,1997,173827,645,137.3,8.5
USA,Maize,2008,65499,715,104.65,8.5
Italy,Potatoes,2003,208965,832,116.93,13.5
United Kingdom,Wheat,2005,36935,1220,100.72,9.5
Australia,Wheat,1997,33410,534,132.87,21.65
Spain,Maize,2003,67567,636,105.82,14.0
United Kingdom,Maize,1993,52148,1220,147.28,9.5
Mexico,Potatoes,2010,229715,758,86.67,21.0
Egypt,Soybeans,1990,22254,51,153.79,22.5
Pakistan,Soybeans,1995,24961,494,135.99,19.0
United Kingdom,Rice,1994,43015,1220,134.92,9.5
Egypt,Wheat,2003,32295,51,118.4,22.5
Turkey,Sweet potatoes,2008,142924,574,87.68,11.1
Albania,Plantains,2001,64612,1485,114.78,16.37
Argentina,Soybeans,1993,30149,590,150.39,16.0
Austria,Soybeans,2011,32186,1110,92.8,6.35
Turkey,Potatoes,2005,207982,574,112.67,11.1
Argentina,Cassava,1993,112229,590,146.95,16.0
Spain,Sorghum,1990,13655,636,140.81,14.0
United Kingdom,Maize,2012,69936,1220,81.53,9.5
Germany,Sweet potatoes,1998,156974,700,134.18,8.5
Netherlands,Sweet potatoes,2005,137997,850,113.4,9.5
Italy,Wheat,2013,40424,832,73.12,13.5
Mexico,Rice,2008,68170,758,104.17,21.0
Mexico,Maize,2013,68033,758,90.5,21.0
USA,Soybeans,1999,31862,715,126.91,8.5
France,Sorghum,1991,13666,867,139.66,12.5
Brazil,Plantains,2008,104348,1761,94.67,25.0
Japan,Wheat,1997,29476,1668,138.32,12.0
United Kingdom,Soybeans,2000,32387,1220,115.04,9.5
Australia,Plantains,1995,85473,534,134.73,21.65
Pakistan,Maize,2011,56517,494,77.11,19.0
Brazil,Soybeans,1993,33874,1761,134.1,25.0
Canada,Yams,2010,112008,537,96.47,-5.35
Albania,Rice,2003,47484,1485,107.36,16.37
Netherlands,Rice,2001,59485,850,115.85,9.5
Spain,Rice,1999,54786,636,123.41,14.0
Turkey,Potatoes,2003,224189,574,118.78,11.1
Brazil,Potatoes,2006,221121,1761,95.9,25.0
Austria,Rice,2012,57891,1110,78.64,6.35
Brazil,Yams,2004,143059,1761,115.78,25.0
Japan,Sorghum,2006,20918,1668,99.71,12.0
Thailand,Cassava,2000,145816,1622,120.5,28.0
Italy,Yams,2010,123170,832,91.08,13.5
United Kingdom,Cassava,1993,110361,1220,145.59,9.5
Spain,Cassava,2001,130654,636,111.4,14.0
Thailand,Rice,2003,63263,1622,105.95,28.0
Netherlands,Cassava,1995,135530,850,129.26,9.5
Turkey,Sorghum,1997,16458,574,121.53,11.1
Germany,Plantains,1994,77775,700,143.31,8.5
Pakistan,Cassava,2010,107566,494,93.87,19.0
China,Sweet potatoes,1995,143040,645,127.57,8.5
Austria,Maize,2003,58081,1110,120.54,6.35
Netherlands,Sorghum,2008,17191,850,94.62,9.5
Turkey,Yams,2003,120890,574,119.73,11.1
Pakistan,Soybeans,2010,23383,494,90.75,19.0
Vietnam,Rice,1991,53672,1821,149.53,25.5
Canada,Cassava,2006,112269,537,107.02,-5.35
India,Plantains,2009,85050,1083,94.29,25.0
Australia,Potatoes,2013,240250,534,90.96,21.65
Japan,Sweet potatoes,2005,161010,1668,97.58,12.0
Indonesia,Wheat,2009,45687,2702,90.12,26.5
Germany,Soybeans,2003,34406,700,112.19,8.5
France,Rice,2010,52181,867,93.84,12.5
China,Sweet potatoes,1996,150227,645,135.87,8.5
Turkey,Maize,2005,54560,574,113.94,11.1
Austria,Sorghum,2001,19049,1110,108.35,6.35
Austria,Wheat,2007,43239,1110,90.16,6.35
Mexico,Soybeans,2004,38417,758,114.24,21.0
Germany,Maize,2008,61852,700,93.55,8.5
India,Soybeans,2008,35929,1083,91.16,25.0
USA,Soybeans,2013,36929,715,88.09,8.5
Brazil,Plantains,2001,90882,1761,114.76,25.0
Albania,Yams,1993,95944,1485,145.12,16.37
Vietnam,Wheat,2004,39781,1821,108.42,25.5
Belgium,Sorghum,2006,19177,847,111.58,10.5
Bangladesh,Cassava,2001,126287,2666,121.86,25.5
Australia,Soybeans,1996,34147,534,125.22,21.65
Japan,Potatoes,2007,204352,1668,99.91,12.0
Albania,Potatoes,2009,227464,1485,97.59,16.37
Egypt,Maize,2001,50972,51,123.2,22.5
Germany,Rice,1993,44311,700,133.46,8.5
Egypt,Sweet potatoes,2011,133359,51,90.84,22.5
Brazil,Sorghum,1998,21089,1761,119.59,25.0
Japan,Maize,1998,58746,1668,128.39,12.0
China,Plantains,2009,80700,645,91.3,8.5
Canada,Rice,2006,46339,537,92.63,-5.35
Egypt,Potatoes,1995,175825,51,138.6,22.5
Belgium,Potatoes,1990,161964,847,141.15,10.5
India,Cassava,2005,172145,1083,108.24,25.0
Bangladesh,Soybeans,2005,31429,2666,109.2,25.5
Australia,Yams,2012,163047,534,80.16,21.65
Turkey,Potatoes,2002,196182,574,117.28,11.1
China,Potatoes,2007,198368,645,104.67,8.5
Australia,Sweet potatoes,2012,188057,534,79.15,21.65
Pakistan,Rice,1995,43625,494,131.84,19.0
Italy,Yams,1996,129827,832,123.81,13.5
China,Wheat,1995,30714,645,139.68,8.5
USA,Yams,2011,132917,715,82.26,8.5
Egypt,Plantains,1991,57672,51,152.6,22.5
Austria,Sweet potatoes,1999,129170,1110,113.83,6.35
Belgium,Rice,2000,51390,847,110.38,10.5
India,Plantains,2013,109678,1083,74.37,25.0
Albania,Sorghum,2013,22579,1485,72.86,16.37
Italy,Wheat,2011,35436,832,85.55,13.5
Japan,Cassava,2002,120720,1668,115.71,12.0
Austria,Wheat,1992,34255,1110,136.65,6.35
Pakistan,Plantains,1992,54695,494,142.98,19.0
India,Rice,2007,57900,1083,102.76,25.0
United Kingdom,Sweet potatoes,1997,151093,1220,129.25,9.5
Germany,Yams,1992,113384,700,147.83,8.5
Mexico,Rice,2000,58959,758,117.33,21.0
USA,Rice,2013,62945,715,84.75,8.5
Vietnam,Soybeans,2005,40268,1821,97.56,25.5
Argentina,Sorghum,2000,19270,590,112.4,16.0
Turkey,Potatoes,2001,185543,574,123.12,11.1
China,Plantains,2010,83030,645,93.19,8.5
Netherlands,Wheat,1997,38111,850,136.43,9.5
Argentina,Sorghum,2012,18663,590,77.73,16.0
India,Maize,1994,62155,1083,129.93,25.0
Argentina,Sorghum,2010,17469,590,82.04,16.0
Austria,Soybeans,2007,36845,1110,93.17,6.35
Germany,Wheat,2004,30985,700,116.41,8.5
France,Maize,1997,47866,867,126.62,12.5
France,Sorghum,2009,16421,867,88.76,12.5
Canada,Plantains,2004,71525,537,104.88,-5.35
France,Maize,1996,56853,867,130.8,12.5
Austria,Maize,2001,61008,1110,109.13,6.35
Canada,Maize,2005,58277,537,101.46,-5.35
Argentina,Rice,1993,44609,590,140.85,16.0
Albania,Sweet potatoes,2006,140374,1485,95.92,16.37
USA,Cassava,2012,144705,715,76.93,8.5
USA,Plantains,2001,66512,715,124.82,8.5
Japan,Sorghum,2009,17900,1668,84.16,12.0
Australia,Rice,1995,46994,534,129.78,21.65
India,Plantains,1993,69923,1083,148.02,25.0
India,Sorghum,1993,15114,1083,143.15,25.0
Pakistan,Rice,2000,37233,494,128.74,19.0
Japan,Rice,1990,40814,1668,143.36,12.0
Australia,Sweet potatoes,1999,169296,534,122.05,21.65
Belgium,Rice,1997,55445,847,120.25,10.5
India,Sorghum,2000,17262,1083,111.45,25.0
India,Sorghum,2010,21488,1083,85.34,25.0
Germany,Sorghum,1999,18294,700,118.84,8.5
Vietnam,Potatoes,2013,218679,1821,74.69,25.5
Austria,Sweet potatoes,2000,130307,1110,124.33,6.35
Argentina,Sweet potatoes,2010,167583,590,80.73,16.0
Thailand,Sweet potatoes,1990,130813,1622,141.32,28.0
China,Sorghum,1990,16936,645,156.35,8.5
China,Sorghum,2002,15345,645,117.59,8.5
Belgium,Yams,2010,133201,847,97.85,10.5
Thailand,Cassava,1995,146417,1622,141.28,28.0
Belgium,Maize,2012,62556,847,82.81,10.5
Italy,Maize,1997,53183,832,119.56,13.5
France,Sweet potatoes,1999,164653,867,121.16,12.5
Mexico,Cassava,2001,143828,758,120.33,21.0
Turkey,Plantains,1997,65613,574,133.71,11.1
Egypt,Cassava,1996,120515,51,140.44,22.5
USA,Cassava,1999,150264,715,118.71,8.5
India,Plantains,2005,82580,1083,110.1,25.0
Turkey,Maize,2006,56683,574,101.95,11.1
Mexico,Potatoes,1992,173237,758,146.72,21.0
Canada,Potatoes,2007,208311,537,93.23,-5.35
Germany,Maize,1994,58718,700,132.94,8.5
Canada,Wheat,2008,27916,537,104.41,-5.35
Thailand,Wheat,2008,46812,1622,97.5,28.0
India,Potatoes,2002,223190,1083,109.75,25.0
United Kingdom,Cassava,2001,156919,1220,113.56,9.5
Netherlands,Maize,2002,67355,850,121.9,9.5
Netherlands,Wheat,1998,32639,850,128.16,9.5
Italy,Potatoes,1991,197716,832,140.33,13.5
Belgium,Plantains,2008,75830,847,104.52,10.5
Turkey,Maize,2012,68205,574,80.74,11.1
Pakistan,Cassava,2008,116935,494,97.37,19.0
Indonesia,Plantains,1991,72536,2702,139.0,26.5
France,Maize,1994,57998,867,129.72,12.5
Canada,Cassava,1997,96983,537,120.0,-5.35
Bangladesh,Cassava,2012,183257,2666,87.38,25.5
Turkey,Rice,1993,40732,574,139.64,11.1
Indonesia,Soybeans,2011,33585,2702,79.78,26.5
Egypt,Cassava,2008,116531,51,105.64,22.5
Netherlands,Sweet potatoes,2002,160937,850,118.71,9.5
Argentina,Rice,2006,58987,590,102.07,16.0
Canada,Yams,1991,94902,537,137.65,-5.35
Belgium,Sorghum,2010,20229,847,91.72,10.5
Albania,Rice,2012,55393,1485,93.25,16.37
Spain,Rice,2006,55973,636,93.49,14.0
Belgium,Soybeans,1999,25117,847,129.79,10.5
India,Wheat,2010,49305,1083,86.82,25.0
Vietnam,Plantains,2009,86861,1821,97.78,25.5
Spain,Cassava,1990,130283,636,142.35,14.0
Brazil,Yams,1999,140619,1761,125.41,25.0
Belgium,Wheat,2010,42925,847,85.35,10.5
Austria,Soybeans,2005,31820,1110,113.39,6.35
Germany,Sweet potatoes,1993,146704,700,142.63,8.5
Brazil,Maize,2006,77751,1761,106.59,25.0
Japan,Sorghum,2005,17960,1668,98.98,12.0
Japan,Wheat,1996,29930,1668,130.22,12.0
Albania,Yams,2012,141906,1485,75.48,16.37
Albania,Sorghum,2010,20435,1485,85.16,16.37
Indonesia,Sweet potatoes,2011,180263,2702,92.16,26.5
Italy,Rice,2006,54981,832,108.02,13.5
Germany,Soybeans,2013,39403,700,85.55,8.5
India,Wheat,2001,42230,1083,124.36,25.0
Germany,Plantains,2001,74237,700,123.04,8.5
Thailand,Potatoes,1992,183842,1622,136.8,28.0
Mexico,Sorghum,1997,16950,758,134.38,21.0
Bangladesh,Potatoes,2007,206199,2666,107.13,25.5
China,Wheat,1992,26820,645,138.37,8.5
Vietnam,Wheat,2008,40362,1821,101.72,25.5
Mexico,Rice,2010,60010,758,92.56,21.0
Germany,Plantains,2013,85309,700,84.29,8.5
Brazil,Rice,2006,53127,1761,105.48,25.0
Austria,Yams,2011,147273,1110,85.97,6.35
Netherlands,Plantains,1999,82717,850,124.6,9.5
Thailand,Potatoes,1998,219091,1622,135.25,28.0
USA,Plantains,1999,77576,715,131.78,8.5
Brazil,Sorghum,2010,19953,1761,92.97,25.0
France,Wheat,2012,44652,867,89.03,12.5
Argentina,Sweet potatoes,1993,131699,590,137.67,16.0
Belgium,Plantains,2003,80951,847,105.95,10.5
Japan,Yams,2001,131164,1668,118.24,12.0
Indonesia,Yams,2012,130219,2702,81.51,26.5
Canada,Soybeans,2002,25995,537,107.9,-5.35
